"PricePerNight","Region","UserIncome","Booked?","Nights"
266,"New York",177816,1,3
361,"New York",135991,1,5
503,"New York",56236,0,0
436,"New York",41259,1,5
357,"Miami",169058,1,5
308,"New York",137338,1,5
226,"Miami",53067,1,4
306,"Chicago",129861,0,0
601,"Miami",158408,1,1
565,"Miami",37328,0,0
536,"Chicago",74080,0,0
270,"Miami",115208,1,1
256,"Miami",65563,1,2
639,"Las Vegas",134417,1,5
396,"Miami",33702,0,0
409,"New York",145540,1,5
274,"Las Vegas",136091,1,5
463,"Miami",126162,1,1
322,"New York",189074,1,3
304,"Miami",65791,1,5
511,"Chicago",84035,1,4
327,"Miami",39900,1,1
565,"Washington",47432,1,1
242,"Hawaii",187801,0,0
570,"Washington",39223,1,4
392,"Miami",90668,1,3
540,"Hawaii",131175,1,4
498,"Las Vegas",181178,1,3
400,"Hawaii",103511,1,3
482,"Hawaii",29049,0,0
200,"Las Vegas",71115,1,5
298,"Washington",196213,0,0
517,"Hawaii",114286,0,0
297,"New York",49588,0,0
566,"Las Vegas",32086,0,0
338,"Las Vegas",93384,1,5
509,"Miami",181622,1,2
620,"Las Vegas",163002,1,1
252,"Hawaii",96546,1,5
257,"Miami",129996,0,0
505,"New York",112007,1,5
393,"New York",66238,1,3
575,"Washington",193436,1,1
637,"Miami",26606,0,0
232,"Washington",180192,1,5
407,"Las Vegas",115334,1,2
516,"Las Vegas",100599,1,1
239,"Hawaii",57963,1,1
647,"Washington",172845,1,5
314,"Las Vegas",25264,0,0
222,"New York",43990,1,2
509,"New York",84720,0,0
554,"Miami",158954,1,4
359,"New York",140217,1,5
365,"Miami",67218,0,0
329,"Washington",70827,1,5
236,"New York",197854,1,5
364,"Las Vegas",110528,0,0
280,"New York",168255,1,4
441,"Las Vegas",139293,0,0
427,"Chicago",135108,1,3
625,"Washington",31929,0,0
354,"Las Vegas",140419,0,0
409,"Las Vegas",181888,1,5
237,"Las Vegas",60190,1,1
587,"Las Vegas",107215,0,0
378,"New York",165304,1,5
531,"Washington",199538,1,4
277,"Washington",123424,1,1
405,"Miami",180991,1,3
547,"Las Vegas",173477,1,1
228,"Miami",194237,1,5
567,"Miami",161150,1,4
336,"Hawaii",92235,1,2
364,"Miami",170157,1,1
340,"Hawaii",74923,1,2
217,"Las Vegas",131561,1,5
433,"Washington",142317,1,1
506,"Washington",152868,1,5
606,"Las Vegas",126286,1,5
211,"Miami",110388,0,0
645,"Las Vegas",38187,0,0
336,"Miami",76852,1,4
623,"Washington",168885,1,3
509,"Las Vegas",36089,1,1
401,"Las Vegas",151778,1,2
567,"Las Vegas",187716,1,5
218,"Miami",138392,1,4
533,"Las Vegas",180062,1,3
357,"Miami",110305,0,0
573,"Hawaii",67294,0,0
441,"Las Vegas",67453,1,5
324,"Chicago",188129,1,2
560,"Hawaii",55385,0,0
241,"Las Vegas",123534,1,2
574,"New York",54408,1,3
325,"Washington",50290,0,0
539,"New York",26621,1,4
634,"Washington",131704,0,0
237,"Las Vegas",195185,1,4
584,"New York",194442,1,1
561,"Chicago",174773,1,2
373,"Las Vegas",127406,0,0
347,"Las Vegas",54787,0,0
292,"Las Vegas",102582,1,1
456,"Hawaii",103711,0,0
600,"Hawaii",61657,0,0
438,"Chicago",91958,1,4
464,"Miami",182800,1,2
500,"Las Vegas",94487,1,5
438,"Chicago",146787,1,2
429,"Hawaii",96728,1,4
207,"Chicago",178467,1,5
221,"Hawaii",156984,1,1
618,"Las Vegas",191862,0,0
546,"Hawaii",101294,0,0
290,"Miami",156800,1,4
493,"Chicago",131696,1,3
494,"Las Vegas",69739,0,0
378,"Chicago",159858,1,4
566,"Chicago",169909,0,0
446,"Chicago",143989,0,0
598,"Hawaii",130149,1,2
449,"New York",104233,1,5
608,"Chicago",37778,0,0
464,"Las Vegas",140088,1,1
391,"Las Vegas",73376,1,1
627,"Miami",26466,1,3
519,"New York",115409,1,3
386,"Hawaii",78666,1,1
208,"Miami",110117,1,2
455,"Hawaii",188022,0,0
421,"Chicago",120793,0,0
595,"Las Vegas",133781,0,0
566,"Hawaii",142802,1,2
584,"Miami",186960,1,4
366,"Chicago",195831,1,3
593,"New York",90128,0,0
268,"Miami",85243,1,2
327,"Washington",52191,1,2
500,"Miami",76320,1,2
640,"Miami",55333,1,5
462,"New York",55220,0,0
437,"Hawaii",115965,1,1
227,"Miami",190263,1,1
636,"Miami",41397,0,0
254,"Miami",166607,1,1
240,"Chicago",179783,1,3
596,"Las Vegas",65534,0,0
429,"Washington",131220,1,3
352,"Hawaii",26707,0,0
602,"Washington",89523,0,0
214,"Las Vegas",147056,1,2
307,"Las Vegas",181652,1,3
509,"Hawaii",138291,1,4
302,"Chicago",129163,1,5
343,"Chicago",68893,1,1
278,"Washington",92030,1,4
561,"Miami",199426,1,4
266,"Las Vegas",32385,0,0
570,"Washington",157984,1,1
349,"Las Vegas",39565,1,5
368,"Chicago",91757,1,1
483,"New York",77859,1,3
243,"Miami",173183,1,5
210,"Chicago",82789,0,0
647,"Chicago",57449,0,0
463,"New York",129026,1,2
552,"Washington",153438,0,0
601,"Hawaii",43069,0,0
540,"New York",182533,0,0
641,"Hawaii",33150,0,0
220,"Miami",139891,1,2
607,"Miami",66873,1,3
589,"Washington",27444,0,0
549,"Hawaii",186406,1,5
370,"Washington",91041,1,3
219,"Las Vegas",67388,0,0
364,"Chicago",50390,1,5
323,"Las Vegas",125185,1,1
583,"Chicago",63095,0,0
363,"Washington",105936,1,3
337,"Miami",174852,1,4
542,"Miami",67966,0,0
580,"Miami",152075,0,0
406,"New York",52044,1,4
528,"Las Vegas",163003,1,4
247,"Miami",67635,0,0
299,"Chicago",119093,1,4
629,"Hawaii",47049,0,0
538,"Hawaii",56474,0,0
569,"Washington",165836,1,3
388,"Washington",197981,1,4
467,"Hawaii",111256,1,1
559,"New York",50536,0,0
600,"New York",122609,0,0
373,"Hawaii",85805,0,0
241,"New York",107243,1,1
482,"Chicago",90693,1,1
536,"New York",96274,1,2
238,"Hawaii",152397,1,4
335,"Miami",125803,1,1
477,"Chicago",39978,0,0
539,"Chicago",118194,1,2
613,"Las Vegas",162351,0,0
414,"Las Vegas",84378,0,0
455,"Las Vegas",105415,1,4
531,"Chicago",179903,0,0
586,"Hawaii",46701,0,0
609,"Miami",173112,1,3
225,"New York",193593,1,1
426,"New York",91463,1,2
358,"Chicago",161736,1,1
581,"Chicago",113998,0,0
563,"Miami",51238,0,0
253,"Miami",110207,0,0
521,"Miami",176967,1,5
306,"Las Vegas",143727,1,4
234,"New York",93291,1,1
621,"Miami",174230,1,3
271,"Chicago",94643,1,5
491,"New York",48702,1,1
278,"Miami",113926,1,1
209,"Miami",91498,0,0
435,"New York",31070,1,4
239,"Miami",37635,0,0
327,"Hawaii",189967,1,4
389,"New York",80510,1,4
464,"Las Vegas",79243,0,0
563,"Hawaii",132907,0,0
291,"New York",83666,1,4
407,"Las Vegas",96190,1,2
402,"Miami",115276,1,5
530,"Las Vegas",54854,0,0
522,"Chicago",115548,1,1
574,"Chicago",111961,0,0
599,"New York",143075,1,3
629,"Las Vegas",78183,0,0
448,"Miami",168031,1,4
435,"Chicago",103686,0,0
277,"Chicago",181472,1,3
416,"New York",86961,0,0
314,"Washington",196248,1,3
218,"Hawaii",69643,1,4
486,"Miami",26931,1,1
443,"Washington",180545,1,4
263,"New York",84834,0,0
328,"New York",28242,0,0
462,"New York",114217,1,5
274,"New York",110783,1,4
243,"Las Vegas",78079,1,1
393,"Miami",136979,1,5
360,"Las Vegas",140222,1,1
580,"New York",83439,1,1
317,"Las Vegas",185324,1,4
210,"Hawaii",103003,1,5
588,"Hawaii",49718,1,1
351,"Miami",114849,0,0
484,"New York",26248,0,0
446,"Hawaii",118690,0,0
369,"Hawaii",37354,1,1
284,"Las Vegas",111346,1,2
393,"New York",119184,0,0
484,"Washington",37423,1,1
434,"Las Vegas",196815,1,4
497,"Hawaii",193827,1,3
528,"New York",165772,1,3
419,"Washington",123609,0,0
373,"Miami",192109,1,3
203,"Miami",88583,0,0
202,"New York",101140,1,3
648,"New York",52712,0,0
249,"Miami",184044,1,2
388,"Las Vegas",169219,1,4
523,"Hawaii",63652,0,0
534,"Las Vegas",125852,1,3
592,"Chicago",68506,1,3
474,"Hawaii",145429,1,2
540,"Miami",145484,1,2
581,"Hawaii",132618,1,4
476,"Chicago",167424,0,0
557,"Washington",173009,1,4
210,"Washington",125668,1,2
388,"Miami",144169,1,2
594,"New York",199329,1,3
491,"New York",110819,1,3
616,"Washington",141359,1,2
278,"New York",108641,1,3
342,"Las Vegas",25085,0,0
562,"Las Vegas",161778,1,2
645,"Chicago",149744,0,0
345,"Washington",126528,1,2
201,"Miami",118588,1,3
646,"New York",83034,0,0
267,"Las Vegas",174452,1,2
222,"Miami",157360,1,2
469,"Hawaii",128876,0,0
345,"Miami",87683,1,3
438,"Hawaii",116205,0,0
558,"Washington",39726,0,0
231,"Las Vegas",138464,1,5
513,"New York",197706,1,2
627,"Hawaii",40280,0,0
325,"New York",98025,0,0
312,"Chicago",181250,1,4
272,"Hawaii",89183,1,2
232,"Las Vegas",185122,1,4
451,"Washington",194695,0,0
420,"Las Vegas",109284,0,0
422,"Miami",189962,1,1
600,"Miami",155397,1,4
217,"Miami",30268,0,0
292,"Hawaii",25433,0,0
431,"Miami",95424,1,1
306,"New York",159857,1,4
459,"Miami",26682,0,0
417,"New York",62951,1,1
456,"Miami",74360,1,3
265,"Hawaii",29506,1,4
266,"New York",99212,1,5
386,"Las Vegas",156699,1,3
507,"Las Vegas",97969,0,0
494,"Las Vegas",132387,1,5
612,"New York",41968,0,0
566,"Miami",41726,0,0
504,"Washington",82568,1,3
563,"Miami",169287,1,3
258,"Las Vegas",100116,0,0
313,"New York",49586,1,1
349,"Miami",54609,0,0
383,"Washington",63065,1,1
486,"Chicago",94316,1,1
564,"Chicago",166074,1,1
316,"Washington",46408,1,2
569,"Washington",51289,1,5
207,"Hawaii",25465,1,1
494,"Las Vegas",46646,0,0
565,"Miami",103188,0,0
408,"Washington",86059,0,0
292,"Hawaii",101272,1,1
208,"Las Vegas",65727,0,0
327,"Chicago",35098,0,0
612,"Washington",51595,0,0
620,"Miami",147245,1,4
444,"Miami",80750,1,4
299,"New York",172235,1,2
420,"Chicago",71053,1,5
561,"Washington",127851,1,1
383,"Miami",151984,0,0
247,"Las Vegas",135836,1,2
326,"Las Vegas",192177,1,3
363,"Las Vegas",104248,1,4
317,"Miami",162242,1,5
412,"New York",92641,1,4
365,"Las Vegas",121046,0,0
255,"New York",143359,0,0
221,"Miami",80102,0,0
318,"New York",75003,1,1
636,"New York",105011,0,0
420,"New York",164017,1,5
415,"Las Vegas",154064,1,3
537,"Washington",90761,1,3
500,"Miami",99765,1,3
222,"Miami",155469,1,3
513,"Las Vegas",99336,0,0
363,"New York",196842,0,0
598,"Miami",75265,0,0
549,"Las Vegas",112759,0,0
263,"Las Vegas",90016,0,0
333,"Chicago",69033,1,3
257,"New York",146441,1,5
465,"Las Vegas",170898,1,2
453,"Hawaii",91118,0,0
510,"Las Vegas",78287,0,0
340,"Chicago",64744,1,2
473,"New York",154415,1,4
646,"Las Vegas",26055,0,0
534,"Miami",76790,0,0
234,"Hawaii",188392,1,4
403,"New York",113458,1,4
224,"Las Vegas",173321,1,5
353,"Las Vegas",125585,1,4
530,"Las Vegas",129712,0,0
202,"Las Vegas",86500,0,0
547,"Washington",136769,1,1
408,"Hawaii",192842,1,3
524,"Miami",161304,0,0
500,"Hawaii",91329,0,0
457,"New York",105494,0,0
517,"Chicago",112314,0,0
496,"New York",96660,1,2
330,"New York",156519,1,3
244,"Las Vegas",169962,1,1
633,"New York",158149,0,0
531,"Chicago",179475,1,4
476,"Chicago",121785,1,1
254,"Hawaii",35625,0,0
448,"Las Vegas",102712,0,0
318,"Washington",31119,0,0
604,"New York",172862,0,0
204,"New York",139693,1,4
306,"Miami",136407,1,1
259,"New York",43712,1,4
347,"Chicago",172170,0,0
527,"Chicago",30377,1,1
646,"Miami",81341,1,2
522,"Las Vegas",152584,0,0
427,"Hawaii",196918,1,2
396,"Las Vegas",79017,0,0
627,"Miami",191152,0,0
254,"Miami",98366,1,5
234,"Washington",56122,1,3
600,"New York",80997,0,0
391,"Las Vegas",91199,1,1
219,"Washington",86618,1,5
491,"Miami",65961,0,0
411,"New York",142665,1,5
478,"Miami",182441,1,3
322,"Las Vegas",41680,1,5
271,"New York",133740,0,0
251,"Hawaii",190031,1,4
428,"Chicago",125335,0,0
447,"Las Vegas",69024,1,4
263,"Las Vegas",63537,1,1
276,"New York",124020,1,1
543,"Chicago",193225,1,4
437,"New York",188457,1,1
587,"Las Vegas",178804,1,1
503,"Miami",30861,1,2
206,"Hawaii",140934,0,0
512,"Miami",84007,1,1
601,"Chicago",192155,1,4
484,"Hawaii",166964,1,5
248,"Las Vegas",123853,1,5
614,"Las Vegas",46859,0,0
504,"New York",85617,0,0
267,"New York",130741,1,2
535,"Miami",26014,0,0
624,"Miami",85259,0,0
389,"Chicago",55899,0,0
334,"New York",136640,1,3
317,"New York",31872,0,0
300,"Miami",114774,1,4
455,"Hawaii",26668,0,0
540,"Washington",33280,0,0
501,"Las Vegas",25779,0,0
446,"Miami",169845,0,0
565,"New York",74816,0,0
542,"Las Vegas",58652,1,1
209,"Washington",136365,1,3
371,"Hawaii",153528,1,4
223,"New York",57771,1,2
559,"Las Vegas",77751,1,5
616,"Las Vegas",127763,1,1
444,"Miami",169753,1,1
584,"Hawaii",48157,0,0
463,"Miami",176387,1,1
501,"Miami",182176,1,5
430,"Las Vegas",193167,1,3
543,"Washington",43383,1,3
607,"New York",36332,0,0
569,"New York",176069,1,4
232,"Chicago",146045,1,4
202,"Las Vegas",97120,1,5
223,"Washington",71599,0,0
590,"Miami",41958,0,0
459,"Chicago",189255,1,3
341,"Miami",145906,1,5
632,"Washington",149353,0,0
466,"Washington",186378,0,0
439,"Miami",108951,1,4
373,"New York",96970,1,4
344,"Washington",172886,1,5
564,"Miami",150639,0,0
219,"Chicago",143469,1,3
364,"Washington",112469,1,5
585,"Washington",117275,0,0
514,"New York",128067,0,0
508,"Miami",179223,1,5
357,"Las Vegas",91900,0,0
450,"Las Vegas",77049,1,3
262,"Hawaii",80276,1,4
553,"New York",26411,0,0
599,"Washington",58592,0,0
292,"Washington",58150,1,4
547,"New York",116333,1,1
468,"New York",154151,1,1
631,"Las Vegas",56540,0,0
271,"Las Vegas",177533,1,3
437,"Hawaii",144288,1,4
593,"New York",28323,0,0
591,"Miami",107296,1,4
211,"Hawaii",106301,1,4
